Year,Primary Activity,Key Operator/Type,Deforestation (Hectares),Estimated Miners,Status/Notes
2017,Artisanal Gold/Coltan,Local Artisanal,0,12500,IPIS identifies 74 mining pits; high insecurity.
2018,Artisanal Gold/Coltan,Local Artisanal,0,15000,IPIS mapathon identifies expansion in western border.
2019,Artisanal/Semi-Industrial,Mixed,0,17500,57 mines observed; 30 closed by ecoguards.
2020,Semi-Industrial Gold,Kimia Mining (Chinese),844,20000,Record deforestation at the time; Muchacha site expands.
2021,Semi-Industrial Gold,Kimia Mining (Chinese),980,22500,Deforestation intensifies along Ituri River.
2022,Semi-Industrial Gold,Kimia Mining (Chinese),1635,25000,18 major sites identified; mercury use reported.
2023,Semi-Industrial Gold,Kimia Mining (Chinese),1890,25000,Primary forest loss peaks; UNESCO "In Danger" status.
2024,Semi-Industrial Gold,Kimia Mining (Chinese),480,25000,Closure orders issued by Gov; expansion continues.
2025,Semi-Industrial Gold,Kimia Mining (Chinese),1200,25000,Permits renewed to 2048; boundary disputes ongoing (Projected).
2026,Semi-Industrial Gold,Kimia Mining (Chinese),1500,25000,Outlook remains "Critical" per IUCN/UNESCO (Projected).
